Sub Name,To Sub Name,Product ID,Customer Device,GC Version,PO,Lot ID,Wafer ID,Lot State,Stage,Current Wafer Qty,Projected Out Date,Commit Date,Wafer Start Date,Total Layers,Rem. Layers,CanSemi Fab,Gross Die,Lot Type
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005095,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CTGL-DEP,25,2021/2/26 0:00,2021/2/26 0:00,2021/1/13 10:33,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005094,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,NP-IMP,25,2021/3/7 0:00,2021/3/7 0:00,2021/1/13 10:32,26,10,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005082,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,PP-IMP,25,2021/3/6 0:00,2021/3/6 0:00,2021/1/13 5:54,26,9,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005081,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,NP-IMP,25,2021/3/6 0:00,2021/3/6 0:00,2021/1/13 5:53,26,10,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005080,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,M1-ET,25,2021/2/24 0:00,2021/2/24 0:00,2021/1/13 3:42,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005079,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CTW-DEP,25,2021/2/24 0:00,2021/2/24 0:00,2021/1/13 3:42,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005078,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,M1-DRAC,25,2021/2/24 0:00,2021/2/24 0:00,2021/1/13 3:41,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005077,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,IMD1-HDP,25,2021/2/24 0:00,2021/2/24 0:00,2021/1/13 3:40,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005076,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,M1-ET,25,2021/2/24 0:00,2021/2/24 0:00,2021/1/12 22:24,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005075,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CT-STRIP,25,2021/2/24 0:00,2021/2/24 0:00,2021/1/12 22:23,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005074,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,M1-PH,25,2021/2/24 0:00,2021/2/24 0:00,2021/1/12 18:23,26,6,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005073,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,M1-SPUT,25,2021/2/24 0:00,2021/2/24 0:00,2021/1/12 18:22,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005072,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,ILD-SIN,25,2021/3/5 0:00,2021/3/5 0:00,2021/1/12 18:21,26,8,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005071,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,P1-DARC,25,2021/3/5 0:00,2021/3/5 0:00,2021/1/12 18:21,26,16,GZ 300MM FAB1,5889,PP
